block,browser_codename,browser_name,browser_version,condition,correct_response,date_startdate,date_startdateUTC,date_starttime,experiment_debug,experiment_parameters,experiment_pilot,experiment_taskname,experiment_taskversion,jatosStudyResultId,jatosVersion,queryParams_batchId,queryParams_generalMultiple,response,response_time,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,stim,system_os
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Nonword,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,932,900,1440,24,900,24,0,0,1440,jash-ronse,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Related,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,1144,900,1440,24,900,24,0,0,1440,spider-web,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Related,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,664,900,1440,24,900,24,0,0,1440,hot-cold,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Unrelated,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,1001,900,1440,24,900,24,0,0,1440,sing-queen,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Nonword,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,740,900,1440,24,900,24,0,0,1440,yot-colp,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Filler,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,1037,900,1440,24,900,24,0,0,1440,large-smipo,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Nonword,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,715,900,1440,24,900,24,0,0,1440,boung-oid,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Filler,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,881,900,1440,24,900,24,0,0,1440,bread-bottin,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Related,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,737,900,1440,24,900,24,0,0,1440,life-death,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Filler,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,772,900,1440,24,900,24,0,0,1440,sconix-marble,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Related,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,820,900,1440,24,900,24,0,0,1440,tall-short,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Filler,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,809,900,1440,24,900,24,0,0,1440,man-wotar,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Nonword,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,1711,900,1440,24,900,24,0,0,1440,spiler-heb,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Filler,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,904,900,1440,24,900,24,0,0,1440,bed-slorg,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Filler,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,1531,900,1440,24,900,24,0,0,1440,moship-father,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Nonword,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,769,900,1440,24,900,24,0,0,1440,plang-fluwer,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Unrelated,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,671,900,1440,24,900,24,0,0,1440,farmer-nail,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Filler,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,902,900,1440,24,900,24,0,0,1440,door-wingew,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Filler,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,1319,900,1440,24,900,24,0,0,1440,afraid-scobet,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Filler,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,657,900,1440,24,900,24,0,0,1440,capsute-pill,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Unrelated,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,992,900,1440,24,900,24,0,0,1440,luck-key,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Related,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,876,900,1440,24,900,24,0,0,1440,hammer-nail,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Related,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,707,900,1440,24,900,24,0,0,1440,dusk-dawn,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Related,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,895,900,1440,24,900,24,0,0,1440,boy-happy,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Nonword,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,1048,900,1440,24,900,24,0,0,1440,lont-gound,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Related,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,932,900,1440,24,900,24,0,0,1440,earth-ground,MacIntel
practice,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36",Unrelated,LEFT,04-10-21,04-10-21,09:34:56,0,0,0,0,0,251,3.6.1,98,,left,1520,824,1536,24,864,24,0,0,1536,sand-pepper,Win32
